Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,AC Sleeper (2+1),20:30,13h 05m,09:35,4.3, 1136,10 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,,,,,,,,
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,,,,,,,,
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,,,,,,,,
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,,,,,,,,
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,Kadamba Transport Corporation Limited (KTCL) - 89820,A/C Sleeper (2+1),19:00,12h 00m,07:00,3.2, 900,14 Seats available
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,,,,,,,,
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,,,,,,,,
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,,,,,,,,
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune,,,,,,,,
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,IntrCity SmartBus,AC Sleeper (2+1),18:25,14h 20m,08:45,4.5, 1489,3 Seats available
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,,,,,,,,
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,,,,,,,,
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,,,,,,,,
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa,,,,,,,,
Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,Zingbus Plus,VE A/C Sleeper (2+1),20:00,15h 55m,11:55,4.5,1015,5 Seats available
Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,,,,,,,,
Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,,,,,,,,
Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,,,,,,,,
Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai,,,,,,,,
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,Kadamba Transport Corporation Limited (KTCL) - 141293,Volvo AC Seater 2+2,19:45,12h 30m,08:15,3.8, 1200,1 Seat available
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,Streamline tours and travels,A/C Sleeper (2+1),18:45,15h 15m,10:00,4.3, 1450,10 Seats available
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,,,,,,,,
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,,,,,,,,
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa,,,,,,,,
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,IntrCity SmartBus,AC Sleeper (2+1),18:40,13h 10m,07:50,4.4, 799,8 Seats available
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,Streamline tours and travels,A/C Sleeper (2+1),18:20,12h 10m,06:30,4.3,899,21 Seats available
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,,,,,,,,
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,,,,,,,,
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore,,,,,,,,
Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:15,12h 45m,10:00,3.2, 735,11 Seats available
Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa,New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,10h 15m,06:00,2.9,1139,20 Seats available
Goa to Belagavi,https://www.redbus.in/bus-tickets/goa-to-belagavi,PSR Travels Goa,A/C Sleeper (2+1),18:10,04h 20m,22:30,3.5, 749,25 Seats available
Goa to Belagavi,https://www.redbus.in/bus-tickets/goa-to-belagavi,National travels,Bharat Benz A/C Sleeper (2+1),18:20,03h 55m,22:15,3.3, 950,17 Seats available
Goa to Belagavi,https://www.redbus.in/bus-tickets/goa-to-belagavi,,,,,,,,
Goa to Belagavi,https://www.redbus.in/bus-tickets/goa-to-belagavi,,,,,,,,
Goa to Belagavi,https://www.redbus.in/bus-tickets/goa-to-belagavi,,,,,,,,
Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,07h 30m,02:30,3.0, 420,22 Seats available
Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,PSR Travels Goa,A/C Sleeper (2+1),18:30,06h 45m,01:15,3.5, 699,21 Seats available
Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,06h 30m,01:30,4.3, 550,2 Seats available
Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,,,,,,,,
Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,,,,,,,,
Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),23:15,08h 45m,08:00,3.0, 1850,2 Seats available
Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa,Sharma Travels,Bharat Benz A/C Sleeper (2+1),23:00,10h 00m,09:00,3.9, 1619,1 Seat available
Goa to Pandharpur,https://www.redbus.in/bus-tickets/goa-to-pandharpur,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,12h 00m,07:00,2.7, 735,21 Seats available
Goa to Pandharpur,https://www.redbus.in/bus-tickets/goa-to-pandharpur,New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,08h 45m,04:30,1.9,949,8 Seats available
Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,13h 30m,08:30,2.8, 850,20 Seats available
Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),19:00,09h 30m,04:30,3.9, 1350,12 Seats available
Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,PSR Travels Goa,A/C Sleeper (2+1),18:30,11h 00m,05:30,1.9, 699,16 Seats available
Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,10h 30m,06:15,2.1,949,11 Seats available
Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,PSR Travels Goa,A/C Sleeper (2+1),18:30,11h 00m,05:30,3.5, 3000,32 Seats available
Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,PVS Tours and Travels,A/C Sleeper (2+1),21:00,12h 00m,09:00,3.4, 2950,36 Seats available
Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,GOWTHAMI TOURS AND TRAVELS,A/C Sleeper (2+1),18:40,07h 50m,02:30,2.7,4750,32 Seats available
Calangute (goa) to Goa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 99719,AC Seater (2+2),18:30,01h 30m,20:00,4.6, 200,41 Seats available
Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,11h 05m,06:05,3.0, 675,30 Seats available
Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),19:00,07h 00m,02:00,3.6, 1350,24 Seats available
Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola,PSR Travels Goa,A/C Sleeper (2+1),18:30,09h 45m,04:15,3.5, 699,21 Seats available
Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola,PSR Travels Goa,A/C Sleeper (2+1),18:30,09h 45m,04:15,3.5, 3000,32 Seats available
Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola,New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,08h 00m,03:45,2.5,949,12 Seats available
Sangola (Solapur) to Goa,https://www.redbus.in/bus-tickets/sangola-to-goa,Kadamba Transport Corporation Limited (KTCL) - 61005,Non AC Seater 2+2,21:45,12h 15m,10:00,2.8, 675,11 Seats available
Sangola (Solapur) to Goa,https://www.redbus.in/bus-tickets/sangola-to-goa,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),23:59,08h 01m,08:00,3.8, 1850,2 Seats available
Sangola (Solapur) to Goa,https://www.redbus.in/bus-tickets/sangola-to-goa,New Shivbaba Tours And Travels,AC Sleeper (2+1),20:30,09h 30m,06:00,2.1,1139,21 Seats available
Shivamogga to Goa,https://www.redbus.in/bus-tickets/shimoga-to-goa,Kadamba Transport Corporation Limited (KTCL) - 132897,Non AC Seater (2+2),23:00,09h 00m,08:00,1.7, 450,36 Seats available
Shivamogga to Goa,https://www.redbus.in/bus-tickets/shimoga-to-goa,Sea Bird Tourist,NON A/C Sleeper (2+1),23:45,08h 15m,08:00,2.7, 900,2 Seats available
Panaji to Goa Airport,https://www.redbus.in/bus-tickets/panaji-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 99719,AC Seater (2+2),19:00,01h 00m,20:00,3.6, 150,42 Seats available
Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,09h 00m,04:00,3.5, 490,27 Seats available
Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli,PSR Travels Goa,A/C Sleeper (2+1),18:30,07h 45m,02:15,3.5, 699,21 Seats available
Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli,Venkteshwara Travels,NON A/C Sleeper (2+1),20:30,08h 45m,05:15,3.2, 599,31 Seats available
Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli,New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,06h 30m,02:15,2.5,664,12 Seats available
Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli,PSR Travels Goa,A/C Sleeper (2+1),18:30,07h 45m,02:15,3.5, 3000,32 Seats available
Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli,PVS Tours and Travels,A/C Sleeper (2+1),21:00,08h 45m,05:45,3.4, 2950,36 Seats available
Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),19:00,06h 30m,01:30,1.2, 1350,22 Seats available
Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,19:00,09h 30m,04:30,3.1, 505,20 Seats available
Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),19:00,06h 30m,01:30,2.6, 1350,25 Seats available
Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj,PSR Travels Goa,A/C Sleeper (2+1),18:30,08h 05m,02:35,3.5, 699,18 Seats available
Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj,Venkteshwara Travels,NON A/C Sleeper (2+1),20:30,09h 00m,05:30,3.2, 599,31 Seats available
Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj,PSR Travels Goa,A/C Sleeper (2+1),18:30,08h 05m,02:35,3.5, 3000,32 Seats available
Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj,New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,06h 45m,02:30,2.5,664,10 Seats available
Shirdi to Goa,https://www.redbus.in/bus-tickets/shirdi-to-goa,PSR Travels Goa,A/C Sleeper (2+1),18:20,14h 40m,09:00,3.5, 1599,9 Seats available
Shirdi to Goa,https://www.redbus.in/bus-tickets/shirdi-to-goa,Hans Travels (I) Private Limited,A/C Sleeper (2+1),21:04,14h 20m,11:24,1.7, 1500,1 Seat available
Goa to Shivamogga,https://www.redbus.in/bus-tickets/goa-to-shimoga,Sea Bird Tourist,NON A/C Sleeper (2+1),18:30,08h 00m,02:30,3.2, 1000,8 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08h 30m,07:00,5.0, 900,14 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,09h 30m,08:00,4.6, 900,18 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),20:30,08h 10m,04:40,4.9, 600,11 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,08h 10m,05:40,4.5, 909,11 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),20:00,08h 10m,04:10,4.7, 909,13 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),22:00,09h 30m,07:30,4.4, 1000,24 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels ( Gogte ),NON A/C Sleeper (2+1),21:01,08h 30m,05:31,4.4, 700,15 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels(KVT Narmada Red),Bharat Benz A/C Sleeper (2+1),21:16,08h 45m,06:01,4.5, 900,19 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Zingbus Plus,VE A/C Sleeper (2+1),20:50,08h 15m,05:05,4.7,900,10 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Sangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,07h 30m,04:30,4.2, 905,16 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Laxmi Queen Prime,A/C Sleeper (2+1),19:30,09h 30m,05:00,4.4, 900,12 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Zingbus Plus,Bharat Benz A/C Sleeper (2+1),19:40,08h 00m,03:40,4.4,900,15 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,IntrCity SmartBus,AC Sleeper (2+1),18:30,08h 05m,02:35,5.0, 959,1 Seat available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Gobus,NON A/C Sleeper (2+1),19:01,09h 40m,04:41,4.4, 700,8 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Amrutyog Travels,A/C Sleeper (2+1),20:00,10h 00m,06:00,4.1, 900,25 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,IntrCity SmartBus,AC Sleeper (2+1),19:00,08h 25m,03:25,4.5, 859,12 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,09h 00m,04:00,3.7, 550,3 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,07h 00m,03:00,3.6, 500,16 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Indumati Travels,A/C Sleeper (2+1),21:00,08h 00m,05:00,2.3,760,20 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),19:45,07h 55m,03:40,4.4, 1899,34 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,IntrCity SmartBus,AC Sleeper (2+1),19:30,07h 40m,03:10,4.4, 950,6 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Anand Ashray Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),21:00,08h 30m,05:30,4.1, 1000,27 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Anand Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),20:00,09h 00m,05:00,4.1, 1000,24 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:05,08h 00m,06:05,4.0, 905,18 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Prasanna - Purple Bus,VE A/C Sleeper (2+1),21:00,07h 00m,04:00,4.0, 1020,36 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels (Shreyas),Bharat Benz A/C Sleeper (2+1),20:03,09h 00m,05:03,3.9, 900,19 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels (Vaibhav),A/C Sleeper (2+1),22:31,08h 45m,07:16,3.9, 1111,16 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels (Dolphin),A/C Sleeper (2+1),18:20,07h 40m,02:00,3.9, 1050,2 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,"National Travels,Goa",NON A/C Sleeper (2+1),19:00,08h 30m,03:30,3.9, 700,9 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels ( Ashray ),A/C Sleeper (2+1),22:02,09h 30m,07:32,3.9, 900,23 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels (Humsafar),Bharat Benz A/C Sleeper (2+1),19:30,08h 15m,03:45,3.9, 900,11 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:20,08h 10m,04:30,4.4, 4510,1 Seat available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Gobus,VE A/C Sleeper (2+1),21:32,08h 00m,05:32,3.9, 900,12 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels (Dolphin),AC Sleeper (2+1),18:30,09h 30m,04:00,3.9, 1000,6 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels ( Gogte ),A/C Sleeper (2+1),19:02,09h 30m,04:32,3.9, 900,21 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels (Dolphin),A/C Sleeper (2+1),19:30,09h 40m,05:10,3.9, 1000,24 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Laxmi Empress Stellar,NON A/C Sleeper (2+1),19:45,08h 30m,04:15,3.8, 799,1 Seat available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Laxmi Queen Asta,A/C Sleeper (2+1),20:30,09h 00m,05:30,3.8, 900,12 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,PSR Travels Goa,A/C Sleeper (2+1),19:15,07h 55m,03:10,3.5, 949,11 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,VRL Travels,A/C Sleeper (2+1),19:30,09h 30m,05:00,3.4, 1000,5 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Gobus,NON A/C Sleeper (2+1),20:01,09h 15m,05:16,4.1, 700,3 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Giroba Travels (Kelkar),NON A/C Airbus (2+2),18:30,09h 30m,04:00,3.3, 500,9 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Giroba Travels (Shree),A/C Sleeper (2+1),19:00,09h 30m,04:30,3.3, 900,19 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels (Unity),A/C Sleeper (2+1),20:00,08h 45m,04:45,4.8, 1000,17 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:15,07h 30m,05:45,3.6, 905,19 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,08h 50m,06:50,3.6, 1000,23 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:00,07h 30m,05:30,2.8, 920,20 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,IntrCity SmartBus,AC Sleeper (2+1),20:00,08h 10m,04:10,4.4, 2755,33 Seats available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),21:00,07h 45m,04:45,4.4, 4067,1 Seat available
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara,Manish Sharma Travels,A/C Sleeper (2+1),19:00,08h 00m,03:00,2.6, 1000,27 Seats available
Goa to Shirdi,https://www.redbus.in/bus-tickets/goa-to-shirdi,PSR Travels Goa,A/C Sleeper (2+1),19:15,14h 45m,10:00,3.5, 1299,11 Seats available
Goa to Shirdi,https://www.redbus.in/bus-tickets/goa-to-shirdi,Humsafar Travels,Bharat Benz A/C Sleeper (2+1),19:00,16h 00m,11:00,2.1, 1350,13 Seats available
Goa to Shirdi,https://www.redbus.in/bus-tickets/goa-to-shirdi,Sea Bird Tourist,A/C Sleeper (2+1),19:00,49h 30m,20:30,3.0, 11000,15 Seats available
